text,label
koi or bhi ho sakta hai,2
1am pa kon kon dekh raha hai?😋🤔🤔🤔🤔,2
qasam SE Bhai Rona agyaa,1
"ye HOTA hai drama , twist, geo",1
even shaitan is confused 😂,0
Iss churail ki shakal dekke khoon khol jate hai mera 😡🤬,0
abe harami,0
bel icon press krdo bhai☺🤭 latest vedios ky lye,2
gaali nhi dy sakta kamiyar ko roza hai is liye,0
Ma'shallah ❤❤❤❤,1
million $ yani . Billion In PKR. Lakin ya zyada boldia google nay,2
2:50 pe ducki ne paada🤣🤣🤣🤣😂,2
0.25x par Speed par best lage ga sunkar dekhe,1
like kare,2
"""Ma ali wali ka gulam hun usi tajdar ki baat hun""✨👌❣️",1
"""Mera peer Syed e Murtaza AS mera wird Ahmad e Mustafa SAWW"" ❤🙏",1
"""meri doi meri Marzi""😂😂😂",0
Hero hY aP,1
ka ktlo par lanat jazeedo pr lant beshomar 🖐️,0
@DckyBhai mene bhi sawaal kiya lekin aapne jawaab nwhi diya 😢😢😢,0
@DuckyBhai ducky bhai gaming room bikull gaming room jesa nhi hai apka plz isko decorate kro,0
@duckybhai kamal dance yar ksm sy,1
@duckybhai mera conment nahi liya mane kiya tha comment 😢😢😢😢😢,0
@duckybhai please Bhai aik PS5 de den mujy apni behn smj kr de den please 🥺🙏😭,2
@Faisal.warraich SIR ..... aromic attack k kitny chances hain? aisa bhi kiya jaa sakta h ya nahi?,2
*kitna kuch suna ha zindagi ma ...* *ya asa master piece jis sa aj tak dil nhi bhara,1
Kon Kon aftari ka bad dikh ra hai? 👋,2
main ap se muhabbat krta hn duky bhai,1
maza aa gaya 😊,1
es story ka writer comments nhi read krta,0
60% Views India Se Hain,2
☺️masallah 😢😢,1
🇧🇩 Bangladesh 🇧🇩 Bangladesh se dekh raha hun Ma'sh'allah,1
🇧🇩🇧🇩🇧🇩. piyar hai Pakistan se,1
🇮🇳 🌸 🙏 🇮🇳,1
🇮🇳🇮🇳🇮🇳love from India bro❤❤😊😊,1
❤️ Allah Hu Akbar,1
❤ ducky bhai,1
❤ from 🇮🇳,1
❤ from India,1
❤ From Mumbai,1
❤ from Russia,1
❤ from srilanka,1
❤ Hanfi mazhab sufi mashrab,1
❤ jaggi Bhai aap itne kareeb ho vah vyapar ke hai no grade empire ke pass hai karod karod,1
❤ love from Karachi ❤️,1
❤ Love U Abida Parveen Ji Bangladesh se 🇧🇩,1
❤ Masha Allah ❤,1
❤ Muhammad ❤❤❤❤,1
❤ zabardast song 🎵 bro,1
❤ kamal 😍,1
❤ Ramzan mubark,1
❤ ye comment is liye kr raha hn taaky koi future mein like kry is masterpiece ko dobara sun sakon❤️,1
❤ 🇮🇳 se,1
