text,true_label,predicted_label
Sorry ducky Bhai but mein abhi facefash kr me Aya hu apki tutty mun pr na lage Inshallah 😊😂,2,1
Ducky bhai apke vlogs or videos to boht ache hote hn leken please face dhoke aaya kro,1,2
khanà kha rhy thy ma 😭🥲,1,0
I can't find this song on Spotify,0,2
Zbrdast dance Kya h 😂❤,1,2
Who else want to slap Kamyar for his Ill-mannered and behavior with his closed ones except the one who ruined his reputation,2,0
kamyr is right he was fully broken cz ayra..,1,0
It’s Faisal Warraich bhai here 😭 Tussi sahi time te aaye ho 🙏,1,2
The Matrabhasa Style,2,1
Mujhe lagta hai ye sab news dhoka hain,0,2
Ducky bhai dance 😂😂😂😂😂😂😂😂😂,1,2
Allah hamdu lillah,2,1
wtf!!! Naqab Hip-Hop.!!!!,0,1
Dosri episode kyun nahi aayi..?,2,0
what she saying,2,1
aroob is cute❤ but ducky mota,0,1
Is bar Samsung ne handset par kam karne ke bajaye YouTubers par bohat paisa lagaya hai 😂,2,0
has has kE pagal ho gya bhi,0,2
There is magic in your voice MashaAllah_🖤🇧🇩🇦🇪,2,1
millions Euro ke deal hai billions ke nahi,0,2
When U just realised kamiyaar deserves Faria 😂😂😅😅not pyari 😘 Ayra ❤,0,1
garibo ko aftaar party dedo,1,2
ducky bhai babe k sath prank kro plzzzz,1,2
Lady B on fire hai 🔥😍,0,1
Asrar can never over take abida nothing can overtake her,2,1
"Allah karaay India, Israel aur America garq ho jay.",0,2
Kahan gayab tha bhai 😠,0,2
This is utter nonsense..Makers are just dragging the show. Hania deserves a better screenplay and direction.,1,0
Ducky Bhai iese na Kya kro Roz dalo vlog plz plz plz plz 😭,0,2
Yeh drama bohot aj kl chl raha hai sirf name ki waja sai open Kiya hai AJ ramzan hai inshallah abi papers ki tyri krraha huwn us Kai bd dekhuwn ga jab 2nd yr Kai papers de kr,2,0
Most overrated 🤧,2,1
"This is my first drama and I really love Meri Zindagi Hai Tu. I feel story can continue after Episode . Now misunderstanding is clear, you can show their happy life, marriage, and baby story. Please consider making more episodes or Thank you ❤️?",0,1
Birthday celebration 😂,2,1
Song- pakistani Viewers- hindustani 😅😅,1,2
Saad is much innocent than cringe and cheap rajab,0,1
how come a doctor marries to a drunk person,0,2
Behtareen Sufi gaana,1,2
Ainda Roz vlog bana na,0,2
"Main India se hoon, lekin ab episodes boring lag rahe hain, makers please story improve karein",0,2
Main Indonesia se hoon lekin mujhe Pakistan ka song pasand hai,2,1
Who can cut throat for Muhammad Saw like plzzz I can,1,2
Ducky bhai is5arha ki videos banaya karo 😊,1,2
Pakistani dramas are only promoting smoking and alcohol.. mufti said right that Pakistan is not a islamic country…,1,0
Who watching in Eid UL Adha ❤,2,1
Tom & jerry,2,1
Shukr h vlog agya,2,0
Kis kis ko lagta hai ki Dacky Bhai din ba din bhut bhut piyary hote ga rahe he❤,1,2
SAMAJ NAHI ARAHI K VIDEO DAIKHAIN YAA ADS,0,2
ducky bhai main ap sy mil ny aa raha hon house number bata dy,0,2
MUNEEB ko gift mea 1lakh dedo,1,2
Aroob app duky saand ko chordo our I love y❤u janoo😊 daky padu,0,1
pr kisko artificial fruits nazr aye Africi banana😮😮,2,0
Mera bakshish waseela.MUHAMMADH(sws) ka nam,0,1
