text,label
koi or bhi ho sakta hai,2.0
1am pa kon kon dekh raha hai?😋🤔🤔🤔🤔,2.0
qasam SE Bhai Rona agyaa,1.0
"ye HOTA hai drama , twist, geo",1.0
even shaitan is confused 😂,0.0
Iss churail ki shakal dekke khoon khol jate hai mera 😡🤬,0.0
abe harami,0.0
bel icon press krdo bhai☺🤭 latest vedios ky lye,2.0
gaali nhi dy sakta kamiyar ko roza hai is liye,0.0
Ma'shallah ❤❤❤❤,1.0
million $ yani . Billion In PKR. Lakin ya zyada boldia google nay,2.0
2:50 pe ducki ne paada🤣🤣🤣🤣😂,2.0
0.25x par Speed par best lage ga sunkar dekhe,1.0
like kare,2.0
"""Ma ali wali ka gulam hun usi tajdar ki baat hun""✨👌❣️",1.0
"""Mera peer Syed e Murtaza AS mera wird Ahmad e Mustafa SAWW"" ❤🙏",1.0
"""meri doi meri Marzi""😂😂😂",0.0
Hero hY aP,1.0
ka ktlo par lanat jazeedo pr lant beshomar 🖐️,0.0
@DckyBhai mene bhi sawaal kiya lekin aapne jawaab nwhi diya 😢😢😢,0.0
@DuckyBhai ducky bhai gaming room bikull gaming room jesa nhi hai apka plz isko decorate kro,0.0
@duckybhai kamal dance yar ksm sy,1.0
@duckybhai mera conment nahi liya mane kiya tha comment 😢😢😢😢😢,0.0
@duckybhai please Bhai aik PS5 de den mujy apni behn smj kr de den please 🥺🙏😭,2.0
@Faisal.warraich SIR ..... aromic attack k kitny chances hain? aisa bhi kiya jaa sakta h ya nahi?,2.0
*kitna kuch suna ha zindagi ma ...* *ya asa master piece jis sa aj tak dil nhi bhara,1.0
Kon Kon aftari ka bad dikh ra hai? 👋,2.0
main ap se muhabbat krta hn duky bhai,1.0
maza aa gaya 😊,1.0
es story ka writer comments nhi read krta,0.0
60% Views India Se Hain,2.0
☺️masallah 😢😢,1.0
🇧🇩 Bangladesh 🇧🇩 Bangladesh se dekh raha hun Ma'sh'allah,1.0
🇧🇩🇧🇩🇧🇩. piyar hai Pakistan se,1.0
🇮🇳 🌸 🙏 🇮🇳,1.0
🇮🇳🇮🇳🇮🇳love from India bro❤❤😊😊,1.0
❤️ Allah Hu Akbar,1.0
❤ ducky bhai,1.0
❤ from 🇮🇳,1.0
❤ from India,1.0
❤ From Mumbai,1.0
❤ from Russia,1.0
❤ from srilanka,1.0
❤ Hanfi mazhab sufi mashrab,1.0
❤ jaggi Bhai aap itne kareeb ho vah vyapar ke hai no grade empire ke pass hai karod karod,1.0
❤ love from Karachi ❤️,1.0
❤ Love U Abida Parveen Ji Bangladesh se 🇧🇩,1.0
❤ Masha Allah ❤,1.0
❤ Muhammad ❤❤❤❤,1.0
❤ zabardast song 🎵 bro,1.0
❤ kamal 😍,1.0
❤ Ramzan mubark,1.0
❤ ye comment is liye kr raha hn taaky koi future mein like kry is masterpiece ko dobara sun sakon❤️,1.0
❤ 🇮🇳 se,1.0
❤🇮🇳🇮🇳 ind se kon dekh raha hai❤,1.0
❤❤ Avery butiful calam ❤,1.0
❤❤ JazaakAllah Khair ❤️,1.0
❤❤ piyar hai tum se ❤❤❤😂😂😂,1.0
❤❤ sahi love you ❤❤❤❤,1.0
❤❤❤ ❤❤❤❤❤❤❤❤❤❤❤❤❤❤Beshak achi qawali ❤❤❤❤❤❤❤❤,1.0
❤❤❤ Allah tala aapko lambi Umar di bhan❤❤ best abida bhan,1.0
❤❤❤ ducky bhai ka pichware. 😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅,0.0
❤❤❤ hello ducky bhai aapke ham log Nahin aate bahut bahut hai please aap bahut jaldi please,1.0
❤❤❤ kia bat hai janu Vicky Bhai,1.0
❤❤❤ love' 💕❤️ india se,1.0
❤❤❤ kia baat h ❤❤❤,1.0
❤❤❤❤ Hazrat Muhammad ❤❤❤❤ salleh allah walleh wassalam❤,1.0
❤❤❤❤ Mashallah Kai bat ha,1.0
❤❤❤❤❤,1.0
❤❤❤❤❤ bht khobsurat naat,1.0
❤❤❤❤❤❤ Mukaram ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1.0
❤❤❤❤❤❤❤❤❤❤❤ ❤❤❤❤❤❤❤❤❤❤❤ ❤❤❤❤❤❤❤❤❤❤,1.0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ alpha music,1.0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ love you all,1.0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ amazing ❤,1.0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1.0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤MASHALLAH SUBHAN ALLAH❤,1.0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😢❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1.0
❤❤❤❤❤❤❤🎉🎉🎉🎉🎉 fasail ali,1.0
❤❤❤❤❤❤❤Masha Allah Masha Allah beshak,1.0
❤❤❤❤❤❤😂🎉🎉🎉😮😊 bht khoob,1.0
❤❤❤❤❤❤Bas ek hi baat kehna hai.......Maditation koi tough job nehi hai....bas headphone lagao or baki Abida ji ke upar chod dijia,1.0
❤❤❤❤❤Ali Mola Ali Mola ❤❤❤❤❤,1.0
❤❤❤❤❤MA SHA ALLAH ❤❤❤❤❤ ❤❤❤❤❤Labaik Hazrat Muhammad Pak (S.A.W)❤️❤️❤️❤️❤️,1.0
❤❤❤💚💚💚🇧🇩🤲🤲🤲🤲🤲🤲🤲🤲,1.0
❤❤❤Aj ya arhan hain 😊lahore❤,1.0
❤❤Kon hai Ali Wali ka Gullam❤❤,2.0
❤a❤❤❤❤😊😊 ubaid 🎉🎉🎉,1.0
❤Aroob my sister 🥹 ducky bahi Mera bara Bhai ha love you dono❤,1.0
❤Aroob my sister 🥹💔and ducky Bhai 🎉,1.0
❤Beautiful naat ❤,1.0
❤best hy par end kiya hoga❤,1.0
